city,population,region_code,region_name,quintile
Adams,410,11,NE Oregon,1
Albany,57777,4,S. Willamette,5
Amity,1845,3,N. Willamette,3
Arlington,678,8,Gorge,2
Ashland,21862,7,S. Oregon,5
Astoria,10131,1,N. Coast,4
Athena,1238,11,NE Oregon,2
Aumsville,4028,3,N. Willamette,4
Baker City,10104,12,E. Oregon,4
Bandon,3592,6,S. Coast,4
Banks,1864,2,Metro,3
Bay City,1598,1,N. Coast,3
Beaverton,100778,2,Metro,5
Bend,104089,9,C. Oregon,5
Boardman,4725,11,NE Oregon,4
Brookings,6829,6,S. Coast,4
Burns,2728,12,E. Oregon,3
Butte Falls,443,7,S. Oregon,1
Canby,19114,2,Metro,5
Cannon Beach,1514,1,N. Coast,3
Canyon City,675,12,E. Oregon,2
Canyonville,1643,7,S. Oregon,3
Carlton,2456,3,N. Willamette,3
Cascade Locks,1412,8,Gorge,3
Cave Junction,2103,7,S. Oregon,3
Central Point,19678,7,S. Oregon,5
Chiloquin,777,10,SC Oregon,2
Clatskanie,1791,1,N. Coast,3
Coburg,1456,4,S. Willamette,3
Columbia City,1946,1,N. Coast,3
Condon,742,8,Gorge,2
Coos Bay,16093,6,S. Coast,5
Cornelius,14490,2,Metro,5
Corvallis,60408,4,S. Willamette,5
Cottage Grove,10909,4,S. Willamette,5
Cove,635,11,NE Oregon,2
Creswell,5735,4,S. Willamette,4
Dallas,17924,3,N. Willamette,5
Dana,17924,3,N. Willamette,5
Dayton,2665,3,N. Willamette,3
Depoe Bay,1547,5,C. Coast,3
Detroit,174,3,N. Willamette,1
Donald,1158,3,N. Willamette,2
Dundee,3249,3,N. Willamette,3
Dunes City,1468,5,C. Coast,3
Durham,1964,2,Metro,3
Eagle Point,9866,7,S. Oregon,4
Elgin,1822,11,NE Oregon,3
Elkton,202,7,S. Oregon,1
Enterprise,2107,11,NE Oregon,3
Estacada,5454,2,Metro,4
Eugene,177155,4,S. Willamette,5
Fairview,10473,2,Metro,4
Falls City,1138,3,N. Willamette,2
Florence,9598,5,C. Coast,4
Forest Grove,26916,2,Metro,5
Gates,573,3,N. Willamette,2
Gervais,2724,3,N. Willamette,3
Gladstone,11992,2,Metro,5
Glendale,859,7,S. Oregon,2
Gold Beach,2417,6,S. Coast,3
Gold Hill,1363,7,S. Oregon,2
Grants Pass,40380,7,S. Oregon,5
Grass Valley,164,8,Gorge,1
Greenhorn,3,12,E. Oregon,1
Gresham,115233,2,Metro,5
Halfway,365,12,E. Oregon,1
